id,company_id/id,code,name,type,user_type/id,parent_id/id,currency_id/id
__account__.account_account_H342,helom.base_company,355000,Produits finis,View,l10n_fr.account_type_view,__account__.account_account_H338,
__account__.account_account_H343,helom.base_company,355100,Produits finis (ou groupe) A,Regular,l10n_fr.account_type_stocks,__account__.account_account_H342,
__account__.account_account_H344,helom.base_company,355200,Produits finis (ou groupe) B,Regular,l10n_fr.account_type_stocks,__account__.account_account_H342,
__account__.account_account_H345,helom.base_company,358000,Produits résiduels (ou matières de récupération),View,l10n_fr.account_type_view,__account__.account_account_H338,
__account__.account_account_H346,helom.base_company,358100,Déchets,Regular,l10n_fr.account_type_stocks,__account__.account_account_H345,
__account__.account_account_H347,helom.base_company,358500,Rebuts,Regular,l10n_fr.account_type_stocks,__account__.account_account_H345,
__account__.account_account_H348,helom.base_company,358600,Matières de récupération,Regular,l10n_fr.account_type_stocks,__account__.account_account_H345,
__account__.account_account_H349,helom.base_company,36,Stocks provenant d'immobilisations,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H350,helom.base_company,37,Stocks de marchandises,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H351,helom.base_company,371000,Marchandises (ou groupe) A,Regular,l10n_fr.account_type_stocks,__account__.account_account_H350,
__account__.account_account_H352,helom.base_company,372000,Marchandises (ou groupe) B,Regular,l10n_fr.account_type_stocks,__account__.account_account_H350,
__account__.account_account_H353,helom.base_company,38,Stocks en voie d'acheminement,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H354,helom.base_company,39,Provisions pour dépréciation des stocks et en-cours,View,l10n_fr.account_type_view,__account__.account_account_H305,
__account__.account_account_H355,helom.base_company,391000,Provisions pour dépréciation des matières premières (et fournitures),View,l10n_fr.account_type_view,__account__.account_account_H354,
__account__.account_account_H356,helom.base_company,391100,Matières (ou groupe) A,Regular,l10n_fr.account_type_stocks,__account__.account_account_H355,
__account__.account_account_H357,helom.base_company,391200,Matières (ou groupe) B,Regular,l10n_fr.account_type_stocks,__account__.account_account_H355,
__account__.account_account_H358,helom.base_company,391700,"Fournitures A, B, C, ..",Regular,l10n_fr.account_type_stocks,__account__.account_account_H355,
__account__.account_account_H359,helom.base_company,392000,Provisions pour dépréciation des autres approvisionnements,View,l10n_fr.account_type_view,__account__.account_account_H354,
__account__.account_account_H360,helom.base_company,392100,Matières consommables (même ventilation que celle du compte 321),Regular,l10n_fr.account_type_stocks,__account__.account_account_H359,
__account__.account_account_H361,helom.base_company,392200,Fournitures consommables (même ventilation que celle du compte 322),Regular,l10n_fr.account_type_stocks,__account__.account_account_H359,
__account__.account_account_H362,helom.base_company,392600,Emballages (même ventilation que celle du compte 326),Regular,l10n_fr.account_type_stocks,__account__.account_account_H359,
__account__.account_account_H363,helom.base_company,393000,Provisions pour dépréciation des en-cours de production de biens,View,l10n_fr.account_type_view,__account__.account_account_H354,
__account__.account_account_H364,helom.base_company,393100,Produits en cours (même ventilation que celle du compte 331),Regular,l10n_fr.account_type_stocks,__account__.account_account_H363,
__account__.account_account_H365,helom.base_company,393500,Travaux en cours (même ventilation que celle du compte 335),Regular,l10n_fr.account_type_stocks,__account__.account_account_H363,
__account__.account_account_H366,helom.base_company,394000,Provisions pour dépréciation des en-cours de production de services,View,l10n_fr.account_type_view,__account__.account_account_H354,
__account__.account_account_H367,helom.base_company,394100,Études en cours (même ventilation que celle du compte 341),Regular,l10n_fr.account_type_stocks,__account__.account_account_H366,
__account__.account_account_H368,helom.base_company,394500,Prestations de services en cours (même ventilation que celle du compte 345),Regular,l10n_fr.account_type_stocks,__account__.account_account_H366,
__account__.account_account_H369,helom.base_company,395000,Provisions pour dépréciation des stocks de produits,View,l10n_fr.account_type_view,__account__.account_account_H354,
__account__.account_account_H370,helom.base_company,395100,Produits intermédiaires (même ventilation que celle du compte 351),Regular,l10n_fr.account_type_stocks,__account__.account_account_H369,
__account__.account_account_H371,helom.base_company,395500,Produits finis (même ventilation que celle du compte 355),Regular,l10n_fr.account_type_stocks,__account__.account_account_H369,
__account__.account_account_H372,helom.base_company,397000,Provisions pour dépréciation des stocks de marchandises,View,l10n_fr.account_type_view,__account__.account_account_H354,
__account__.account_account_H373,helom.base_company,397100,Marchandises (ou groupe) A,Regular,l10n_fr.account_type_stocks,__account__.account_account_H372,
__account__.account_account_H374,helom.base_company,397200,Marchandises (ou groupe) B,Regular,l10n_fr.account_type_stocks,__account__.account_account_H372,
__account__.account_account_H375,helom.base_company,Classe 4,Comptes de tiers,View,l10n_fr.account_type_view,__account__.account_account_H2,
__account__.account_account_H376,helom.base_company,40,Fournisseurs et comptes rattachés,View,l10n_fr.account_type_view,__account__.account_account_H375,
__account__.account_account_H1208,helom.base_company,401,Fournisseurs et comptes rattachés,View,l10n_fr.account_type_view,__account__.account_account_H376,
__account__.account_account_H377,helom.base_company,401000,Fournisseurs,Payable,l10n_fr.account_type_payable,__account__.account_account_H1208,
__account__.account_account_H470,helom.base_company,404000,Fournisseurs d'immobilisations,View,l10n_fr.account_type_view,__account__.account_account_H376,
__account__.account_account_H471,helom.base_company,404100,Fournisseurs - Achats d'immobilisations,Regular,l10n_fr.account_type_payable,__account__.account_account_H470,
__account__.account_account_H474,helom.base_company,408000,Fournisseurs - Factures non parvenues,View,l10n_fr.account_type_view,__account__.account_account_H376,
__account__.account_account_H475,helom.base_company,408100,FOURN FACT NON PARVENUES,Regular,l10n_fr.account_type_payable,__account__.account_account_H474,
__account__.account_account_H476,helom.base_company,408400,Fournisseurs d'immobilisations,Regular,l10n_fr.account_type_payable,__account__.account_account_H474,
__account__.account_account_H477,helom.base_company,408800,Fournisseurs - Intérêts courus,Regular,l10n_fr.account_type_payable,__account__.account_account_H474,
__account__.account_account_H478,helom.base_company,409,Fournisseurs débiteurs,View,l10n_fr.account_type_view,__account__.account_account_H376,
__account__.account_account_H479,helom.base_company,409100,Fournisseurs - Avances et acomptes versés sur commandes,Regular,l10n_fr.account_type_stocks,__account__.account_account_H478,
__account__.account_account_H480,helom.base_company,409600,Fournisseurs - Créances pour emballages et matériel à rendre,Regular,l10n_fr.account_type_stocks,__account__.account_account_H478,
__account__.account_account_H481,helom.base_company,409700,Fournisseurs - Autres avoirs,View,l10n_fr.account_type_view,__account__.account_account_H478,
__account__.account_account_H482,helom.base_company,409710,Fournisseurs d'exploitation,Regular,l10n_fr.account_type_stocks,__account__.account_account_H481,
__account__.account_account_H483,helom.base_company,409740,Fournisseurs d'immobilisations,Regular,l10n_fr.account_type_stocks,__account__.account_account_H481,
__account__.account_account_H484,helom.base_company,409800,"Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus",Regular,l10n_fr.account_type_stocks,__account__.account_account_H478,
__account__.account_account_H485,helom.base_company,41,Clients et comptes rattachés,View,l10n_fr.account_type_view,__account__.account_account_H375,
__account__.account_account_H487,helom.base_company,411,Clients,View,l10n_fr.account_type_view,__account__.account_account_H485,
__account__.account_account_H489,helom.base_company,411000,Clients - Ventes de biens ou de prestations de services,Receivable,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1237,helom.base_company,411100,Clients - Rue du Commerce,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1238,helom.base_company,411200,Clients - Amazon,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1239,helom.base_company,411300,Clients - Pixmania,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1240,helom.base_company,411400,Clients - Sofinco,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1241,helom.base_company,411500,Clients - Banque Accord,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1251,helom.base_company,411610,Clients - Mediacadeaux,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1252,helom.base_company,411620,Clients - Open Price,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1264,helom.base_company,411710,Clients -CB Crédit Mutuel,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1265,helom.base_company,411720,Clients -CB Crédit Lyonnais,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1326,helom.base_company,411730,CB - Banque Pop,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1335,helom.base_company,411740,Virement PAYPAL,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1336,helom.base_company,411750,Virement C-DICOUNT,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1376,helom.base_company,411760,Virement Priceminister,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1435,helom.base_company,411770,Clients - CB CIC,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H1451,helom.base_company,411780,Clients - Franfinance,Regular,l10n_fr.account_type_receivable,__account__.account_account_H487,
__account__.account_account_H491,helom.base_company,413000,Clients - Effets à recevoir,Receivable,l10n_fr.account_type_receivable,__account__.account_account_H485,
__account__.account_account_H492,helom.base_company,416000,Clients douteux ou litigieux,Regular,l10n_fr.account_type_receivable,__account__.account_account_H485,
__account__.account_account_H493,helom.base_company,418000,Clients - Produits non encore facturés,View,l10n_fr.account_type_view,__account__.account_account_H485,
__account__.account_account_H494,helom.base_company,418100,Clients - Factures à établir,Regular,l10n_fr.account_type_receivable,__account__.account_account_H493,
__account__.account_account_H496,helom.base_company,419,Clients créditeurs,View,l10n_fr.account_type_view,__account__.account_account_H485,
__account__.account_account_H497,helom.base_company,419100,Clients - Avances et acomptes reçus sur commandes,Regular,l10n_fr.account_type_dettes,__account__.account_account_H496,
__account__.account_account_H498,helom.base_company,419600,Clients - Dettes pour emballages et matériels consignés,Regular,l10n_fr.account_type_dettes,__account__.account_account_H496,
__account__.account_account_H499,helom.base_company,419700,Clients - Autres avoirs,Regular,l10n_fr.account_type_dettes,__account__.account_account_H496,
__account__.account_account_H1263,helom.base_company,419800,Clients RRR a accorder,Regular,l10n_fr.account_type_receivable,__account__.account_account_H496,
__account__.account_account_H500,helom.base_company,42,Personnel et comptes rattachés,View,l10n_fr.account_type_view,__account__.account_account_H375,
__account__.account_account_H1275,helom.base_company,421000,Personnel-Rémunérations dues,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H501,helom.base_company,421001,Personnel - Rémunérations dues ,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H525,helom.base_company,422000,Comités d'entreprise d'établissement,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H526,helom.base_company,424000,Participation des salariés aux résultats,View,l10n_fr.account_type_view,__account__.account_account_H500,
__account__.account_account_H527,helom.base_company,424600,Réserve spéciale,Regular,l10n_fr.account_type_dettes,__account__.account_account_H526,
__account__.account_account_H528,helom.base_company,424800,Comptes courants,Regular,l10n_fr.account_type_dettes,__account__.account_account_H526,
__account__.account_account_H529,helom.base_company,425000,Personnel - Avances et acomptes,Regular,l10n_fr.account_type_receivable,__account__.account_account_H500,
__account__.account_account_H530,helom.base_company,426000,Personnel - Dépôts,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H531,helom.base_company,427000,Personnel opposition sur salaires,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H532,helom.base_company,428000,Personnel - Charges à payer et produits à recevoir,View,l10n_fr.account_type_view,__account__.account_account_H500,
__account__.account_account_H540,helom.base_company,428200,Dettes provisionnées pour congés à payer,Regular,l10n_fr.account_type_dettes,__account__.account_account_H532,
__account__.account_account_H541,helom.base_company,428400,Dettes provisionnées pour participation des salariés aux résultats,Regular,l10n_fr.account_type_dettes,__account__.account_account_H532,
__account__.account_account_H542,helom.base_company,428600,Autres charges à payer,Regular,l10n_fr.account_type_dettes,__account__.account_account_H532,
__account__.account_account_H543,helom.base_company,428700,Produits à recevoir,Regular,l10n_fr.account_type_receivable,__account__.account_account_H532,
